ID,INGREDIENTES,PRECIO,COMENTARIOS,MATERIA_SECA_(%),HUMEDAD_(%),CENIZAS_(%),PB_(%),EE_(%),EE_VERD_(%),FB_(%),FND_(%),FAD_(%),LAD_(%),ALMIDON_(%),AZUCARES_(%),SUMA_(%),C14:0_(%),C16:0_(%),C16:1_(%),C18:0_(%),C18:1_(%),C18:2_(%),C18:3_(%),C>20_(%),Ca_(%),P_(%),Pftico_(%),Pdisp_AVES_(%),Pdig_AVES_(%),Pdig_PORC_(%),Na_(%),Cl_(%),Mg_(%),K_(%),S_(%),Cu_(ppm),Fe_(ppm),Mn_(ppm),Zn_(ppm),Vit_E_(ppm),Biotina_(ppm),Colina_(ppm),EM_RTES_(Kcal_kg),UFL_(UF_kg),UFC_(UF_kg),ENL_RTES_(Kcal_kg),ENM_RTES_(Kcal_kg),ENC_RTES_(Kcal_kg),ALM_SOLUBLE_(%),ALM_DEGRAD_(%),ED_PORC_(Kcal_kg),EM_PORC_(Kcal_kg),EN_PORC_(Kcal_kg),EN_CERDAS_(Kcal_kg),EMA_POLLIT_(Kcal_kg),EMA_AVES _(Kcal_kg),ED_CONEJOS_(Kcal_kg),ED_CABALLO_(Kcal_kg),PBDIG_RUM_(%),PBDIG_PORC_(%),PBDIG_AVES_(%),PBDIG_CON_(%),PBDIG_CAB_(%),PDIA_(%),PDIE_(%),PDIN_(%),LYS_(%PDIE),MET_(%PDIE),LYS_(%),MET_(%),M+C_(%),THR_(%),TRP_(%),ILE_(%),VAL_(%),ARG_(%),GLYeq_(%),LYS_DIA_(%),MET_DIA_(%),M+C_DIA_(%),THR_DIA_(%),TRP_DIA_(%),ILE_DIA_(%),VAL_DIA_(%),ARG_DIA_(%),GLYeq_DIA_(%),LYS_DIS_(%),MET_DIS_(%),M+C_DIS_(%),THR_DIS_(%),TRP_DIS_(%),ILE_DIS_(%),VAL_DIS_(%),ARG_DIS_(%),GLYeq_DIS_(%),LYS_DR_(%),MET_DR_(%),M+C_DR_(%),THR_DR_(%),TRP_DR_(%),ILE_DR_(%),VAL_DR_(%),ARG_DR_(%),GLYeq_DR_(%)
1,ARROZ PARTIDO,,,87.2,12.8,1,7.5,1.0,0.9,1.0,2.5,1.2,0.1,71.8,1.8,98.4,0,0.14,0,0.02,0.34,0.31,0.01,0.02,0.04,0.1,0.06,0.02,0.02,0.01,0.02,0.03,0.08,0.12,0.09,3,19,12,21,4,0.05,400,2875,1.1,1.12,1870,1990,1385,40.2,58.9,3560,3510,2780,2780,3300,3400,3585,3585,5.8,6.6,6.6,6.5,6.4,4.2,9.8,5.7,6.6,2.1,0.29,0.18,0.35,0.26,0.1,0.28,0.41,0.56,0.6,0.23,0.16,0.29,0.19,0.08,0.23,0.33,0.47,0.47,0.26,0.17,0.32,0.24,0.09,0.27,0.38,0.51,0.57,0.25,0.17,0.31,0.23,0.09,0.26,0.37,0.51,0.5
2,AVENA,,,90.5,9.5,2.8,9.9,4.9,4.4,12.8,30.9,14.2,2.6,36.1,1.5,95.6,0.01,0.84,0.02,0.04,1.54,1.72,0.09,0.02,0.08,0.33,0.18,0.09,0.14,0.09,0.02,0.08,0.12,0.36,0.18,5,80,44,25,13,0.18,1000,2490,0.88,0.86,1585,1700,1120,24.2,32.9,2790,2700,1980,2060,2200,2400,2680,2900,5.8,7.1,7.5,7.2,7.6,1.8,6.6,6.2,7.6,2.2,0.39,0.16,0.46,0.33,0.13,0.36,0.49,0.64,0.82,0.27,0.13,0.34,0.21,0.09,0.27,0.35,0.53,0.44,0.3,0.14,0.36,0.24,0.1,0.29,0.39,0.57,0.56,0.28,0.13,0.32,0.22,0.1,0.26,0.34,0.53,.
3,AVENA DECORTICADA,,,88.5,11.5,2.8,14.0,6.9,6.2,3.4,10.2,4.8,1.0,51.4,2.0,98.8,0.02,1.18,0.02,0.06,2.17,2.42,0.12,0.02,0.08,0.38,0.18,0.12,0.16,0.1,0.03,0.08,0.11,0.37,0.18,4,70,40,23,15,0.15,1200,2920,1.1,1.11,1900,2020,1410,35.5,47.3,3350,3250,2525,2545,3250,3280,3400,3400,10.1,11.2,11.5,11.6,11.6,2.1,7.9,8.7,7.1,2,0.52,0.25,0.61,0.45,0.2,0.53,0.7,1.02,1.16,0.4,0.21,0.48,0.32,0.15,0.42,0.55,0.89,0.96,0.43,0.22,0.52,0.36,0.17,0.45,0.6,0.93,1.03,0.42,0.19,0.52,0.38,0.16,0.47,0.57,0.89,0.96
4,CEBADA 2C 11.3 PB,,,89.9,10.1,2.2,11.3,1.7,1.2,4.7,18.1,5.5,1.1,51.9,1.6,96.9,0,0.27,0,0,0.15,0.67,0.07,0,0.06,0.32,0.21,0.12,0.13,0.1,0.02,0.12,0.1,0.4,0.15,6,75,15,30,20,0.16,1025,2710,1,1,1740,1860,1260,27,45.2,3245,3150,2390,2460,2500,2785,3100,3300,7.3,8.5,9,8.7,7.9,2.8,8.6,7.5,7,2,0.41,0.19,0.43,0.37,0.14,0.4,0.55,0.55,0.8,0.28,0.14,0.32,0.25,0.09,0.29,0.39,0.44,0.5,0.32,0.16,0.35,0.3,0.11,0.32,0.44,0.47,0.64,0.31,0.14,0.35,0.28,0.1,0.31,0.44,0.45,0.57
5,CEBADA 2C 9.6 PB,,,88.9,11.1,2.2,9.6,1.7,1.2,4.7,18.1,5.5,1.1,52.5,1.6,96.8,0,0.27,0,0,0.15,0.67,0.07,0,0.06,0.32,0.21,0.12,0.13,0.1,0.02,0.12,0.1,0.4,0.15,6,70,15,30,20,0.16,1025,2700,1,1,1740,1860,1260,27.3,45.7,3200,3120,2380,2430,2450,2750,3200,3360,6.2,7.2,7.7,7.4,6.7,2.4,8.2,6.4,6.9,1.9,0.35,0.16,0.37,0.32,0.12,0.34,0.47,0.47,0.68,0.24,0.12,0.28,0.21,0.08,0.24,0.33,0.38,0.43,0.27,0.13,0.3,0.25,0.09,0.27,0.38,0.4,0.54,0.26,0.12,0.29,0.24,0.08,0.27,0.37,0.38,0.48
6,CENTENO NACIONAL,,,89.4,10.6,1.6,9.4,1.3,0.9,2.3,13.6,3.4,1.0,55.3,3.7,95.5,0,0.16,0,0,0.14,0.5,0.06,0,0.04,0.3,0.2,0.14,0.13,0.1,0.02,0.03,0.09,0.4,0.12,4,38,25,25,15,0.06,432,2800,1.03,1.04,1805,1930,1320,33.2,49.2,3275,3200,2470,2535,2530,2730,3300,3450,6.4,6.6,6.4,6.6,6.7,1.8,8.1,6,7.8,2.2,0.35,0.16,0.38,0.31,0.1,0.31,0.43,0.47,0.71,0.23,0.12,0.29,0.19,0.07,0.21,0.29,0.31,0.46,0.26,0.13,0.31,0.23,0.08,0.24,0.33,0.36,0.57,0.25,0.12,0.29,0.24,0.06,0.24,0.35,0.33,0.39
7,CENTENO ALEMçN,,,87.5,12.5,1.8,10.1,1.8,1.3,2.2,11.2,3.2,1.0,53.7,4.5,95.5,0,0.23,0,0,0.19,0.69,0.09,0,0.03,0.32,0.2,0.14,0.12,0.09,0.01,0.03,0.13,0.48,0.1,5,60,25,25,15,0.06,430,2740,1.02,1.03,1770,1890,1290,32.2,47.8,3240,3160,2440,2505,2550,2750,3200,3300,6.8,7,6.8,7,7.2,1.9,8.2,6.4,7.2,2,0.36,0.15,0.35,0.32,0.11,0.37,0.48,0.47,0.76,0.24,0.12,0.27,0.19,0.07,0.26,0.32,0.27,0.48,0.27,0.13,0.29,0.24,0.09,0.29,0.37,0.36,0.6,0.26,0.12,0.26,0.25,0.06,0.28,0.39,0.33,0.41
8,MAIZ NACIONAL,,,86.4,13.6,1.1,7.3,3.3,3,2.1,9.0,2.8,0.7,63.8,1.7,99.8,0,0.33,0,0.06,0.8,1.66,0.03,0,0.03,0.25,0.2,0.05,0.07,0.06,0.01,0.05,0.1,0.29,0.13,4,28,7,24,21,0.07,550,2840,1.07,1.09,1850,1965,1365,17.2,38.3,3420,3370,2670,2730,3150,3250,3350,3560,4.5,5.8,6.2,4.7,5.1,4,7.9,5.6,6.1,2,0.22,0.15,0.31,0.26,0.06,0.25,0.35,0.33,0.53,0.14,0.13,0.24,0.18,0.03,0.19,0.27,0.26,0.37,0.17,0.13,0.27,0.22,0.05,0.22,0.3,0.29,0.44,0.16,0.14,0.26,0.21,0.05,0.22,0.29,0.3,0.45
9,MAIZ RICO EN ACEITE,,,86.2,13.8,1.3,8.4,6.4,6.1,2.4,8.8,2.9,0.9,59.0,2.0,99.7,0,0.68,0,0.15,2.04,2.98,0.05,0,0.02,0.28,0.19,0.05,0.08,0.05,0.01,0.05,0.1,0.29,0.13,4,28,7,24,25,0.07,600,2950,1.11,1.13,1930,2045,1440,15.9,35.4,3515,3450,2740,2770,3340,3410,3445,3600,5.2,6.6,7.1,5.2,5.9,4.6,8.3,6.5,5.9,2,0.26,0.18,0.38,0.29,0.07,0.31,0.41,0.4,0.6,0.17,0.15,0.29,0.21,0.04,0.24,0.32,0.32,0.42,0.2,0.16,0.32,0.24,0.05,0.27,0.36,0.35,0.51,0.19,0.16,0.32,0.23,0.05,0.27,0.35,0.36,0.52
10,SORGO BLANCO,,,87.0,13,1.3,8.9,3.0,2.7,2.3,8.8,4.5,0.8,64.2,0.8,100,0,0.46,0,0,0.84,1.22,0.08,0,0.03,0.28,0.19,0.06,0.07,0.07,0.01,0.09,0.15,0.35,0.1,4,52,11,18,10,0.24,620,2770,1.03,1.04,1800,1915,1320,18,33.4,3400,3330,2630,2655,3070,3220,3290,3500,4.9,6.7,6.6,5.8,6.4,4.5,7.9,6.4,5.5,1.8,0.2,0.15,0.32,0.29,0.1,0.35,0.45,0.35,0.58,0.13,0.13,0.25,0.21,0.07,0.27,0.35,0.28,0.39,0.15,0.14,0.27,0.24,0.08,0.29,0.38,0.3,0.46,0.17,0.14,0.27,0.26,0.09,0.32,0.4,0.3,0.39
